                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.38854,                0.40551,                0.84905,                0.99509,                0.99896,                  0.995,                0.92844,                0.37659,                 0.2351,                0.82156,             0.00017997,             0.00017997,             0.00017997
                    121,                0.39968,                0.41436,                0.84732,                0.99233,                0.99809,                  0.995,                0.93141,                 0.3752,                0.24067,                0.82206,             0.00017976,             0.00017976,             0.00017976
                    122,                0.39044,                0.40915,                0.84965,                 0.9942,                0.99863,                  0.995,                0.92961,                0.37461,                0.23764,                  0.819,             0.00017956,             0.00017956,             0.00017956
                    123,                 0.3996,                0.41341,                0.85571,                0.99312,                0.99742,                  0.995,                0.92875,                0.37643,                 0.2397,                0.82052,             0.00017936,             0.00017936,             0.00017936
                    124,                0.39178,                0.40584,                0.84982,                0.99479,                0.99658,                  0.995,                0.93287,                0.37073,                0.23858,                0.82033,             0.00017916,             0.00017916,             0.00017916
                    125,                0.38846,                0.40026,                0.84553,                0.99147,                 0.9975,                  0.995,                0.93103,                0.37246,                0.24122,                0.81877,             0.00017896,             0.00017896,             0.00017896
                    126,                0.40036,                0.41356,                0.85064,                0.99459,                0.99939,                  0.995,                0.93293,                0.37216,                0.23552,                0.81711,             0.00017876,             0.00017876,             0.00017876
                    127,                 0.3954,                0.39823,                0.85124,                0.99384,                0.99812,                  0.995,                0.93014,                0.37963,                0.23836,                0.82173,             0.00017855,             0.00017855,             0.00017855
                    128,                0.39103,                0.39886,                0.84996,                0.99392,                0.99741,                  0.995,                 0.9313,                0.37648,                 0.2356,                 0.8215,             0.00017835,             0.00017835,             0.00017835
                    129,                0.39046,                0.40551,                0.85355,                0.99407,                0.99838,                  0.995,                0.92848,                0.37869,                0.23833,                0.82078,             0.00017815,             0.00017815,             0.00017815
                    130,                0.39282,                0.39817,                0.85093,                0.99498,                0.99578,                  0.995,                0.93206,                0.37192,                0.23159,                 0.8189,             0.00017795,             0.00017795,             0.00017795
                    131,                0.38844,                0.40193,                0.84362,                0.99456,                0.99708,                0.99496,                 0.9299,                0.37409,                0.23264,                0.81956,             0.00017775,             0.00017775,             0.00017775
                    132,                   0.39,                0.40822,                0.84755,                0.99452,                0.99801,                  0.995,                0.93335,                0.37304,                 0.2326,                0.82133,             0.00017754,             0.00017754,             0.00017754
                    133,                0.38868,                0.40454,                0.84916,                0.99538,                 0.9972,                  0.995,                0.93336,                0.37508,                0.23304,                0.81849,             0.00017734,             0.00017734,             0.00017734
